image,label,type
ESP_013049_0950_RED-0067.jpg,7,train
ESP_013049_0950_RED-0067-fv.jpg,7,train
ESP_013049_0950_RED-0067-brt.jpg,7,train
ESP_013049_0950_RED-0067-r90.jpg,7,train
ESP_013049_0950_RED-0067-r180.jpg,7,train
ESP_013049_0950_RED-0067-r270.jpg,7,train
ESP_013049_0950_RED-0067-fh.jpg,7,train
ESP_019697_2020_RED-0024.jpg,1,train
ESP_019697_2020_RED-0024-fv.jpg,1,train
ESP_019697_2020_RED-0024-brt.jpg,1,train
ESP_019697_2020_RED-0024-r90.jpg,1,train
ESP_019697_2020_RED-0024-r180.jpg,1,train
ESP_019697_2020_RED-0024-r270.jpg,1,train
ESP_019697_2020_RED-0024-fh.jpg,1,train
ESP_015962_1695_RED-0016.jpg,1,train
ESP_015962_1695_RED-0016-fv.jpg,1,train
ESP_015962_1695_RED-0016-brt.jpg,1,train
ESP_015962_1695_RED-0016-r90.jpg,1,train
ESP_015962_1695_RED-0016-r180.jpg,1,train
ESP_015962_1695_RED-0016-r270.jpg,1,train
ESP_015962_1695_RED-0016-fh.jpg,1,train
ESP_013049_0950_RED-0118.jpg,7,train
ESP_013049_0950_RED-0118-fv.jpg,7,train
ESP_013049_0950_RED-0118-brt.jpg,7,train
ESP_013049_0950_RED-0118-r90.jpg,7,train
ESP_013049_0950_RED-0118-r180.jpg,7,train
ESP_013049_0950_RED-0118-r270.jpg,7,train
ESP_013049_0950_RED-0118-fh.jpg,7,train
ESP_015962_1695_RED-0017.jpg,1,train
ESP_015962_1695_RED-0017-fv.jpg,1,train
ESP_015962_1695_RED-0017-brt.jpg,1,train
ESP_015962_1695_RED-0017-r90.jpg,1,train
ESP_015962_1695_RED-0017-r180.jpg,1,train
ESP_015962_1695_RED-0017-r270.jpg,1,train
ESP_015962_1695_RED-0017-fh.jpg,1,train
ESP_017395_1700_RED-0098.jpg,5,train
ESP_017395_1700_RED-0098-fv.jpg,5,train
ESP_017395_1700_RED-0098-brt.jpg,5,train
ESP_017395_1700_RED-0098-r90.jpg,5,train
ESP_017395_1700_RED-0098-r180.jpg,5,train
ESP_017395_1700_RED-0098-r270.jpg,5,train
ESP_017395_1700_RED-0098-fh.jpg,5,train
ESP_011348_0950_RED-0005.jpg,7,train
ESP_011348_0950_RED-0005-fv.jpg,7,train
ESP_011348_0950_RED-0005-brt.jpg,7,train
ESP_011348_0950_RED-0005-r90.jpg,7,train
ESP_011348_0950_RED-0005-r180.jpg,7,train
ESP_011348_0950_RED-0005-r270.jpg,7,train
ESP_011348_0950_RED-0005-fh.jpg,7,train
ESP_046834_1525_RED-0191.jpg,5,train
ESP_046834_1525_RED-0191-fv.jpg,5,train
ESP_046834_1525_RED-0191-brt.jpg,5,train
ESP_046834_1525_RED-0191-r90.jpg,5,train
ESP_046834_1525_RED-0191-r180.jpg,5,train
ESP_046834_1525_RED-0191-r270.jpg,5,train
ESP_046834_1525_RED-0191-fh.jpg,5,train
ESP_034590_1795_RED-0125.jpg,1,train
ESP_034590_1795_RED-0125-fv.jpg,1,train
ESP_034590_1795_RED-0125-brt.jpg,1,train
ESP_034590_1795_RED-0125-r90.jpg,1,train
ESP_034590_1795_RED-0125-r180.jpg,1,train
ESP_034590_1795_RED-0125-r270.jpg,1,train
ESP_034590_1795_RED-0125-fh.jpg,1,train
ESP_013049_0950_RED-0188.jpg,7,train
ESP_013049_0950_RED-0188-fv.jpg,7,train
ESP_013049_0950_RED-0188-brt.jpg,7,train
ESP_013049_0950_RED-0188-r90.jpg,7,train
ESP_013049_0950_RED-0188-r180.jpg,7,train
ESP_013049_0950_RED-0188-r270.jpg,7,train
ESP_013049_0950_RED-0188-fh.jpg,7,train
ESP_013049_0950_RED-0086.jpg,7,train
ESP_013049_0950_RED-0086-fv.jpg,7,train
ESP_013049_0950_RED-0086-brt.jpg,7,train
ESP_013049_0950_RED-0086-r90.jpg,7,train
ESP_013049_0950_RED-0086-r180.jpg,7,train
ESP_013049_0950_RED-0086-r270.jpg,7,train
ESP_013049_0950_RED-0086-fh.jpg,7,train
ESP_034590_1795_RED-0114.jpg,5,train
ESP_034590_1795_RED-0114-fv.jpg,5,train
ESP_034590_1795_RED-0114-brt.jpg,5,train
ESP_034590_1795_RED-0114-r90.jpg,5,train
ESP_034590_1795_RED-0114-r180.jpg,5,train
ESP_034590_1795_RED-0114-r270.jpg,5,train
ESP_034590_1795_RED-0114-fh.jpg,5,train
ESP_046549_1790_RED-0052.jpg,5,train
ESP_046549_1790_RED-0052-fv.jpg,5,train
ESP_046549_1790_RED-0052-brt.jpg,5,train
ESP_046549_1790_RED-0052-r90.jpg,5,train
ESP_046549_1790_RED-0052-r180.jpg,5,train
